"","batter","PA_2021","PA_2022","PA_2023","Total_PA"
"32","046aa119cf276cb291309b36e32ae78957fe3818",374,535,303,1212
"33","04919f19fd9c50566716c96ff5f0615b14ccfe3d",547,591,547,1685
"34","04994290f0133acc8b036b3d3bc14ceda5b0d012",20,NA,NA,20
"35","04cc7babf2db7c7531580c6f4d2e313c5c9bf560",1,NA,NA,1
"36","04f9c2f30346853e09f3678562b61e8957eef0aa",657,603,646,1906
"37","04fff5fe242de0e6f076cf320985c8ef8643e589",NA,19,48,67
"38","050c1dab2befebe73b385a13ca7d7bca764b20ca",NA,NA,9,9
"39","0511a4e51e2e6e7f78a0acfb2ec603a9ab4acbe0",4,NA,NA,4
"40","054330d52db7c91df94452501112e67b3986598b",46,NA,NA,46
"41","05489443ace8032d1a897c125c504d52362c507f",64,NA,NA,64
"42","061aec6a5629bac2e9003c1b716a09127b313711",NA,41,239,280
"43","061eb45e0292790d19a0638e0bd4edb4dad2d319",449,392,407,1248
"44","06662d5b2e1290f7ee60a65ca4d0f90c3ddd9581",498,285,141,924
"45","073c953adf860e87af6671245c3aba319b72e225",631,659,698,1988
"46","0787a0194110f04cfac70c22b35b79e710e93e0d",8,NA,NA,8
"47","07bf5f8d6cfdbe80de149203c913ffd26de27de9",185,265,492,942
"48","07f0a4be81a4415806197d0a1b0339917fa0ae01",279,299,160,738
"49","07fdf16fffcf71dcb7fb848addba74df1ee36048",121,156,157,434
"50","083d603cf3249f2f57c04b16db50218beba3c152",209,110,11,330
"51","0867cdc89466ca1651ec177e322cb5b045126a49",2,NA,NA,2
"52","08a7ee474cc1fbfeb48e48b23b82fb9efd3c0f02",10,NA,NA,10
"53","08c5771a634d6ce1269b5e03de7c96ef0a856558",205,248,300,753
"54","0970a31949e9d9c0db5d90ee6eaee120529ad264",2,NA,NA,2
"55","099f3caaed41f6345911adda9cbfae974cbdb9a9",229,41,NA,270
"56","09bcad48d0185d5c1cd04957300dc4f876111017",NA,NA,601,601
"57","09c4fd07f6de14adc4edeed0aacd4b55f3bbad50",124,421,331,876
"58","09e6f8d367dd945ef1b220557afde3b68449e875",135,25,2,162
"59","0a7f2f087c76f9bd4768f7ecc4ee64ca76cc0a33",247,159,NA,406
"60","0a9dd53a6be2f9e40c096688cd1b968f98cd3564",31,NA,NA,31
"61","0abb23bdfb74476798d7b896eca26baedc33a553",NA,91,73,164
"62","0ad2e5cf1e052b219e6b8b806a56a9eb96cb29be",600,644,654,1898
"63","0b45bde37e380498cfc1bc4a6153567ec74d63b0",52,NA,NA,52
"64","0b6c7a9ff58dc18e0e462ff7ac31aab5947124e5",74,NA,2,76
"65","0b7ac2052237fe7518844407df4c965305fae3a9",3,1,NA,4
"66","0b7e91b73e8e3ce2c1aa8d74416e37aa24d45b60",1,NA,NA,1
"67","0b8026eede08f8cfede660d778e8bb153749973d",NA,NA,81,81
"68","0ba1c8581d0fa99abbd75bd6b6cc8cfca3bdd5ec",1,NA,NA,1
"69","0c049bc522425eab3482cc503f0c1f416be05b4f",1,NA,NA,1
"70","0c51c48964727db5e319dc9e422da3e548ce0bc3",NA,443,584,1027
"71","0c55d44ed69e8e022327a2e878343216c0b246c4",403,183,516,1102
"72","0ca329fc49d750ff089b64c0dcb78465bba6ca5e",249,153,238,640
"73","0cdc8c492978d2ef0285cdf8f5236684314a12cd",580,559,672,1811
"74","0d06d461615dc698f57ccb8a1f6b958b675c5c5f",2,NA,NA,2
"75","0d1f9704bf611041f42aa3454af0cc19cd8d1360",76,NA,NA,76
"76","0d619601296acb6143a07906c000237abdf740a0",272,NA,NA,272
"77","0dd87d3394b8e4828b192487a4d747744bc39cf4",625,541,505,1671
"78","0dfad3e2465c27c7a01b172df43e96a9343bc877",NA,188,106,294
"79","0e1f6b71ce8a01aec4626928a428d124604da764",NA,183,345,528
"80","0e83bafabb77ec13c356db364be8cea1d55afcfe",1,NA,NA,1
"81","0e86bc7879803f7bcc6f16386e6f64c578a22199",292,225,71,588
"82","0f061b9439845159c394a71e55d635b10ca25656",3,NA,NA,3
"83","0f423ceb0b439bee8578392faa44aea4bad7dc97",240,128,32,400
"84","0f46bb1ed363d593af42cfddbe027922aff10780",615,433,359,1407
"85","0f69eb701a55b4137c4f9912a16bf5e8e4ed6dc6",359,128,NA,487
"86","0fa22d499a0f8fcd14dd29eefc42c0c1baf25ef5",25,35,71,131
"87","0faf14063418974e05d27176729d62e76f8e3cd6",156,47,67,270
"88","102be786b501ac586b0919515e7707ff61c84bf4",11,NA,NA,11
"89","10a4db5c6bf3b4f13c48ad7b40019d5b072331ff",492,227,252,971
"90","10fedf67aa649b50c9974dd8fdfef7a128e5adc3",2,NA,NA,2
"91","11416d11059c8d9746e5810a0b83471293d2bfef",55,NA,NA,55
"92","116ef4a0acb2548f70160ff681055e4a75b6e73a",NA,17,NA,17
"93","119143ca72109f71f10887b424837edad0759c34",7,NA,NA,7
"94","1197ad8826628a3b6a30dce1a669fec173342b7b",69,79,NA,148
"95","11d5f4e38d7491e880c99a6717db9f0fb3d03495",NA,77,NA,77
"96","120fba62e2804d7697e21b532789bf87100f7aaf",NA,233,5,238
"97","121048ecdf300d2ec18b79f9632d2e0e4ecb925e",215,228,293,736
"98","12500b0485dd2c99ec2973700512ec1b1751e2fe",1,NA,NA,1
"99","1283c202465a158258273e47609c0946ab2380b3",NA,NA,298,298
"100","138e48696b6f3962de58a823300534156cde7ed2",9,NA,NA,9
"101","13a359b8104dd860f6ef78ad52a2bf0a1fedf75c",NA,NA,114,114
"102","13bb8133c4107b2c2591346794e1ba951f925fcd",NA,NA,103,103
"103","13db75ec2a2ab2c1204e891c1dd8a91095dec4ac",1,NA,NA,1
"104","13efcb430aedb603f38fb8e0b8f0788369d88a0e",1,NA,NA,1
"105","13f1ea44ff2b7094942812a905745c719e209b0b",350,313,227,890
"106","14141a52599650ea070ed88943350830e7848cdf",1,NA,NA,1
"107","148f176b02dce29b83edb4320503dc4d23955f9c",58,NA,NA,58
"108","14af6a8eb666d7c9681caa8ed62c48b91baf7418",283,NA,NA,283
"109","14d989d8d61ab52344d12d6c7c25673cb91b8e75",7,NA,NA,7
"110","1500346001a2e1cfe45d8e51dd60c4c17e77dcfe",NA,102,515,617
"111","151e3a419b9084ed3fb6d18a9d95bea2897dd4d6",5,NA,NA,5
"112","151f1a0a4d4509711c02ef31320fa25afb343d0f",474,272,NA,746
"113","153b10980f9eca97fe1b1246e7b424449c1aae67",NA,NA,129,129
"114","155168f6c29c329f20d476d9f6181bf8ee1e335b",1,NA,NA,1
"115","1555357c4809b66ac35fa0096f378680a822b65e",311,338,214,863
"116","1563b7e821ce94e55b751e2656d96bb2de8d6795",1,NA,NA,1
"117","156a23a4cc56796a03b911ca8f66a2d67b7850ed",16,NA,NA,16
"118","15a59c43bf3d2bd1cb20844d4c98db0c0d34f14c",38,NA,NA,38
"119","15cf631818905e2aba93aabd57046f07a210f484",2,NA,NA,2
"120","165fd9b7358e92833b4563e3588f3aa3076f823c",1,NA,NA,1
"121","169c1712ef46dc4b772e5b886cd34496cf08c10c",NA,6,NA,6
"122","16dee00b31277a71f2d452a51980b157b9bb084b",62,347,NA,409
"123","179b65b12c84f3cbd352681ede3f3bb890b3645b",4,NA,NA,4
"124","17ae4c3c46b4a4cccd1e887924a21796cacbdf79",4,NA,NA,4
"125","17cbce1de7a9d4e31952e86ba69ced3fa5f1c28c",255,159,90,504
"126","17d8413358cc5a88ae5adc6dd71f352d2d5b0f3b",491,495,250,1236
"127","18396fcf5f98aac97ec6127f7924868d3ef7bd9e",620,652,576,1848
"128","183c175964b224bf2c8168b04c2a313adb7f089c",157,177,243,577
"129","1840dc0b0ec72496c4a26e81eb131e1d117a3b3e",530,559,378,1467
"130","1846d3ee1ac661616b677348a8a7a7aa7639b5e8",535,485,422,1442
"131","18960e9d1150e1dd3d49d3f3751e845032330579",149,NA,NA,149
"132","18c74a28b8a5783fa44148b2a8e2eca079e97f80",NA,NA,86,86
"133","18c836a2aa6ac974abb7ae88b69d463f6ae44fca",112,223,361,696
"134","19002d0d7703ce99a390e39c57d62401ef57cec6",452,85,NA,537
"135","193490e2a59b813602a40b72510dfc4da0f67743",NA,NA,353,353
"136","196115bd13924ea956ac982f6673bbc0ec717546",1,NA,NA,1
"137","19a16a0f9bad918752029086cbc39e8d625d9514",3,NA,NA,3
"138","19a9cdf36a658385d6e860ca2237745d7b20e25e",NA,NA,466,466
"139","19c4182f72e996e7f55493ca7cca258f713f50b9",2,NA,NA,2
"140","19f683ce76088d78377da48963e1c90cbac9ffaa",325,190,300,815
"141","1a235d57e26b0ed8dfee64621fb6775bca2a7eda",NA,64,254,318
"142","1a284227f3ec20e43d3f2cb0d535b4260b8d666e",13,NA,NA,13
"143","1a35380236861a3e9242fc1790692a52ca977c92",537,383,266,1186
"144","1aa27eb48b3712864f321e6a59da95bc82a429eb",12,NA,NA,12
"145","1aa97033b20b51d4e32c2c8fcdbad5007a17f112",NA,83,105,188
"146","1ac380f5904db3c931f8d162d72133cf7c552811",179,88,NA,267
"147","1aec22a2dc737a6a12dce27f5d88561807a87e37",216,55,NA,271
"148","1b54a2e894a34ca35ca4a39fe9da17087c7d42ed",NA,NA,99,99
"149","1b6e325206b56276bc690f3f7397aa8e4cfa7507",NA,1,NA,1
"150","1b8c25d4748b83dced144e1953464d23defeb0fc",2,NA,NA,2
"151","1bae958c3003100a62896444235627a7ab5a75e2",448,611,438,1497
"152","1bccfee3279aff69154310cc2fa053d20612ff26",11,61,NA,72
"153","1c3af27dc3d3052f28798b634f1d0c21c5a5b909",295,303,339,937
"154","1c7a84d78ccd820a7c66423c99c907fdd2401e8f",NA,37,NA,37
"155","1cb63469405979b64ac3081a6d36eca4bf16160e",526,431,369,1326
"156","1cc43f2912ca249fb9a1cdc475ca052ff9e0868c",1,NA,NA,1
"157","1cca9d59852837b5cc993ebcb9bfc2c9abb65f6f",506,506,113,1125
"158","1ccfa4a1ec1b4a6fca216a1e270f6183505fe38c",23,155,2,180
"159","1ce31d2c34c99066c4e1f9f1b1628adc562487fe",133,179,52,364
"160","1ce9089e3c8a0d946a32111da07ce0e20a43bf64",NA,15,NA,15
"161","1ceead9f26f4ecdc74ef8e8e5adce55797d2d824",72,149,250,471
"162","1d392fe0b1ce6c5acf9617caffaf58cbd4848115",11,NA,NA,11
"163","1d3d89fdc9b6fdf610be289823dd2fdddcb44a71",NA,41,233,274
"164","1d740c776101050cefeca93cd8dda4e6b9e7cbc2",1,NA,NA,1
"165","1d76081dc2c60f71387a57ba6b2723919586640a",68,11,NA,79
"166","1d7beaf707e455f76ede0b81f60d4ec6a8776030",7,NA,NA,7
"167","1d7f1767d410007c6942c7638aef78d438fe016c",9,14,NA,23
"168","1dd31de7652afb24c31beda9faaa8847549d9102",NA,NA,94,94
"169","1dd81477d26cc96cf04cbe21ee082afdfb452b47",399,421,15,835
"170","1df963b3d540d35badcbf3958f021f4c840da4c5",42,NA,NA,42
"171","1e0227e59b2beec91b0fea33cf12ef28b2b01142",241,195,24,460
"172","1e49befabb1b2212685a7138e696cab3c6fcec68",NA,9,NA,9
"173","1eb669cced8461ecdf53da0ff3eb4bcb04ae1a3f",412,191,226,829
"174","1ebae1b84a40ad0df0cee1c8d59b9b8fe31dac37",484,546,196,1226
"175","1f9beabdc0eae8b4a3944dbbb831ab67df7e70f4",NA,13,2,15
"176","1fa87945c3ee6516a00ae1d7003df4789de36661",58,NA,NA,58
"177","1fb28f21cef40755e2a212961ff20f84a625c889",14,NA,NA,14
"178","1ff4dd49bd3453db6bf302add09243dac7c06525",NA,NA,228,228
"179","2015ffd22e8e0512d9b33c8d7a8bfb7b0e510432",1,NA,NA,1
"180","20880521c2c15f79ab9728bd4e144add7bbedfd4",63,NA,NA,63
"181","209657ed5b928d363055f7c8edf1b64b804e996d",6,292,95,393
"182","2096d792c5e737f270907b3d5d8d5f5434483638",83,NA,NA,83
"183","20c0d7fd0fb4221c2aeb59118b16753e1f723b09",16,NA,NA,16
"184","20ff3f0cc9865685168d1566e1cc579565516e49",185,58,NA,243
"185","2118e015319a79ccd323497bfc0eb78439491367",NA,NA,89,89
"186","211afb16159815485e4edaf53f202f30d68d217b",343,304,449,1096
"187","216e03600af9acd2e1f85303beb31366bdd05c4f",353,151,376,880
"188","21748318a6fcdeed91ff8816b7a20df71a2d30e9",117,NA,NA,117
"189","21f46a87fe22d704964db886e3bbb4c8e72d9c6c",66,NA,NA,66
"190","227278769ed44d180d373e42bce38bc84d374030",2,NA,NA,2
"191","22cc2eb3ece81074e6dbd5efe2dbd5d10afb5840",26,163,85,274
"192","22e048efcadabdbb2f9150cd00d9bb7d08c4eab9",42,NA,NA,42
"193","231d573a7f3607f76f16eb294509c7cd9dfb52c3",3,NA,NA,3
"194","2339f3d736742f4e417e256852ac6237cd65b019",48,NA,NA,48
"195","238fe9ce798e7a9cae523d2506857333ac10f7bb",NA,NA,33,33
"196","23e9038fdcd6b8d0cb4b981d832584085629cddb",418,527,144,1089
"197","2460f7c6d698b7e9b6a16cb19e108f44f2cd427b",159,46,NA,205
"198","248107deaa8a879b2d8c74da6442181c3612f51f",11,NA,NA,11
"199","248b2b26afbae8c89442dbc6f7ca0244d69d2651",NA,NA,100,100
"200","24c75fe780af78a4acf2ab07e13e571b30101251",2,NA,NA,2
"201","24fa12505cdc29d6c15f5e6c08e00f1c42e4373f",321,592,348,1261
"202","24fec3a6368277cd9893a8149e18735d34bc8e28",NA,15,5,20
"203","2520b6339c384f8f3fd26d7e9d19a7fda038b704",14,NA,NA,14
"204","252261d8a50cbdec92f59e33a2fa709dff5ccb32",NA,536,601,1137
"205","25561edff0b8cb2a606946dbd30d011b1edcd4ff",NA,36,172,208
"206","256bfaff4fc58bd3af86140021a439f2b8f030a5",1,NA,NA,1
"207","25851f7a9d8bb946bfeb6764ec9df5d16156116e",94,115,NA,209
"208","2592df55723601efd9d98374e329ce7402b3de99",NA,217,102,319
"209","25a0a4ca22cbf1a928e8d251085e8c85b9a76da8",2,NA,NA,2
"210","25d492f82219a3acdde6d8b08201ba02ba3ff3a6",140,285,62,487
"211","25e2a10bf1f394c04a250d6a7286e0430de6eb17",183,425,174,782
"212","260a8ceb479a09517387126e80d28417812dd933",257,292,NA,549
"213","2622dac5f67183f0c4a5b57e73549123f201cd74",347,13,206,566
"214","263f19273c6c4c12eceadb8824228fe1eac5e8a4",5,NA,NA,5
"215","26ac979bacd0020877044a7be8138b0422be43e8",1,NA,NA,1
"216","26b016cf8e8536053cd109aa8e1502db6d46478f",139,177,145,461
"217","26ccf96ef1de6d8676bf3267651ecfeae0fb9493",543,457,320,1320
"218","272afbb58d7d307e062b997f042c6ab23077d1a0",18,NA,NA,18
"219","2738afd92aab9a593a247e910986394c906d4fe0",34,NA,NA,34
"220","27649f3623a0bd504a07741df2773cc253ce7c61",NA,255,233,488
"221","27653562f25fddfedbb6862c6f7f775e3aee8729",66,NA,NA,66
"222","27b2eba8ae0d45397910727bd67244fd77221377",1,NA,NA,1
"223","27c6fba076399f5a9ed7d239040f8a5278e0b538",2,NA,NA,2
"224","27c8e4ac9a23ab952471008a05419b6998edeb3e",234,47,71,352
"225","27e2885fafb017fda73618ee98c34114ba0f12ac",40,NA,NA,40
"226","289266c55934030cf386fdf06b232e864c6eeb2d",1,NA,NA,1
"227","29131ffa4c7f48d97ceddfa2b3e4460800ca739c",NA,16,NA,16
"228","2923b2767d40064620b34fd192dd7af293143844",472,54,210,736
"229","299053ca317c893a3b7d24793149d41fcd3075a9",NA,11,NA,11
"230","29a888709565675646dc9e12dd4475920881f41c",6,NA,NA,6
"231","29be0196e90ec2730c66e14d9db7f44d9dc832a7",3,NA,NA,3
"232","29df9634e71f12ec4754b370e647db4bdfedd12b",649,610,666,1925
"233","2acf5e9ceb8ce9a5cadb881644fbbad57a194b3f",73,NA,NA,73
"234","2aed313649b643ed7472d3288d52df873c27722f",NA,NA,45,45
"235","2af8cae185649642c98a64031cd30d75d8ea8031",5,NA,NA,5
"236","2b8fb4c53c71dae6d2e2a528bd24a875942f0553",NA,239,304,543
"237","2c06050c5104e14ea16b448cdb68c98c6fdb6022",2,NA,NA,2
"238","2c233d7b7a033a9e9fda9f3b7ed8fc5e3ea42b64",25,229,NA,254
"239","2cf7394ffcf79450ee4e4a683bd34563bcd3c3e6",2,NA,NA,2
"240","2cfe0e74d121786e16b71dee10c362c40c23c337",180,410,342,932
"241","2d2f3ff492dab091a66dacfc0d50b463f59ed7fe",NA,NA,175,175
"242","2d5dea952171a05e9b9f20a9fb02c97a1155e6b0",38,50,173,261
"243","2d7a24e3c952e59b1e215ea9963fa645df14ba41",183,293,242,718
"244","2dc4d0bb674f68789281dab8a4b3a0148cea088f",98,NA,81,179
"245","2dc5dd2f39299e14eabf8f6d62d4318e8fb2c046",6,NA,NA,6
"246","2dd6abc1ed2c2ed1b7ed35bb26e9574991c0aa23",278,17,NA,295
"247","2e3d0cdbf076419e129b10118dec8cb76469c6a2",NA,NA,44,44
"248","2e3dc0bf128a65e52129efa0d4c557da30182837",77,NA,NA,77
"249","2e466f26bec347f364a85f73269afde6258b02ba",193,233,90,516
"250","2e5e1e91b44362429d7a86cfc8427a67aeeb39ea",351,NA,NA,351
"251","2e68dc279251e6c847a8c8d7e1a3076cbd1cc93a",5,NA,NA,5
"252","2eb51c2ed0a7a9c7e4c8bd01bab20e9bd2fdbf06",210,553,613,1376
"253","2f4d15f54d90d74da63a1cb72e6dcad1ce2e01fa",NA,37,371,408
"254","2f7fd76e945aaedd0d86916e6e0aa0396954cd82",407,656,527,1590
"255","2f92e102307d680e24f2a5fb63dff8b7ecde998b",290,74,NA,364
"256","2fb16aa71c808667f5df7df8817b2578b60420a4",208,507,591,1306
"257","2fe024683064013fcfea642e36419686f8840c5c",1,NA,NA,1
"258","2ff6803041b873af408f7d1a8eb3e4b361d15e13",34,NA,NA,34
"259","3009ab35873ae4b9a5a1022926464083423c02a5",507,241,384,1132
"260","305643a27df5d23925c66d8904499a5d32d40761",97,NA,NA,97
"261","305b67fad711a094722b604fb6edbc5c1f4a13e7",NA,8,230,238
"262","3103eeddc91e18c223c7ef4d3c12f29cd6e5bdd8",301,353,169,823
"263","31124d5ebc4f33645d00953e45c18e4dbf79294f",371,556,649,1576
"264","31204399ff9843bb19cb9750c36260dacd0ad3e3",NA,35,615,650
"265","3142966391d5752fe8f2c279e019bf208dcf9301",122,NA,NA,122
"266","3148a404a27ec23716603b174b57c1607842c314",NA,7,37,44
"267","32603421aea266b74d441ebfe6f97a7cf4c4670a",4,NA,NA,4
"268","32e156a46073e01cc070b292a84003e40760c009",NA,NA,17,17
"269","33438ca2fdf93ff73b2e1bcc5da3058a04cf1661",3,NA,NA,3
"270","3357488d4771f0c815e0d61df19e152f9e389a03",47,NA,NA,47
"271","337ceb78dd62b5bce81b7b7f34439574484da2ef",482,430,419,1331
"272","33b6034adb1b887ec34812aff00773075121de26",376,241,67,684
"273","34190fba310a52459744c4574d93853243ee9eca",7,NA,NA,7
"274","34294c5b512043e6f7ad920382ed06035f0982b8",2,NA,NA,2
"275","34415ee2ef93a38bffd2295405d657ece1b20853",64,NA,NA,64
"276","34505025fb4406cbedcee444836fa9324d7ee574",42,NA,NA,42
"277","34db29c6c5dba776c3229d6fd6421da5634440a6",1,NA,NA,1
"278","34eb3b4b6ae25355fbcf8cc216ae7bd42cdf268b",310,193,NA,503
"279","34eef15c55d4a098d8efc48441c9491c43a7344b",21,25,39,85
"280","35356970180d7c585b23f342d80e3231418a86ce",613,531,625,1769
"281","353dd0a803b3ecbe1771f4531f67d28ef10e8604",649,697,639,1985
"282","355c86965a10a2e036f29b00eac8dc7ab0637c15",NA,426,428,854
"283","356907afc7d8f8f995d40a6cce9e494dc34ecfd4",NA,57,192,249
"284","35770324d53532364530105a6c2bba19a04258c2",34,NA,NA,34
"285","35941e56cf0ad1cf4d0ad279953b6f73b523f8cb",NA,467,370,837
"286","35977534b4c84824da88911ef0d1bfb5a4cd371a",NA,NA,61,61
"287","35a9a6f4775002cac4941a15b11af3640b2a3291",23,NA,NA,23
"288","35ac892926cc593e5859e2dc743c776562ca312f",2,NA,NA,2
"289","35dba25a879c2664e6573a99adc5c180b11e574c",5,NA,NA,5
"290","35e22d85a8a64b75bd6dc3b819c33e5064b1be93",NA,84,18,102
"291","35ee4c2805e987e2c9712bd33781066faad19d7a",NA,61,NA,61
"292","35ee61646c04b642d8fb2cb054de9abe544e9341",3,NA,NA,3
"293","36672e213820a74ed38341444004479e5a0d5443",261,83,NA,344
"294","369cbabc57e48432e228701fce080636f3e25cf4",18,NA,NA,18
"295","3791ba74aa33cea6ebb3f70277d0c6089188d87b",NA,632,692,1324
"296","37ab844291002536a60b6aa57cbbed2c7f132b2e",NA,98,33,131
"297","37bfaeb9268f9389dfa6157b48b8c7b1a3e2b170",444,666,662,1772
"298","38168aebb9d2669dcdeba3a8559e3bc5801c6fc3",507,275,57,839
"299","383e94bde2444fafd3a346803843c1f1319e5149",478,601,607,1686
"300","38891f76ea6a9c14cd3bf34a61849fc0c59fa9e0",51,NA,NA,51
"301","38baed314b29d36496058f04abb8f92c375ce168",NA,86,169,255
"302","3962c93e969c6790ae7cfbd5854210610d71d2b1",5,NA,NA,5
"303","39e4ec390ba39c0df8140bece8ee601f966b1453",68,NA,NA,68
"304","3a0069aa7adaee13eac04b432235b9a1364cbf42",1,NA,NA,1
"305","3a4a2059eda2a9c1518d5404384519ea6343991f",180,177,204,561
"306","3ae724ecfe223e7e9201014053f8fe62a3e9fc1c",35,NA,NA,35
"307","3ae876324a3432f10debb6edc8a6a24f232fe021",123,346,502,971
"308","3af578969b000c1ef55ed93f42083992574e13b8",20,NA,NA,20
"309","3af6bd02e5b64be84236cf5a8f25950a26a2848d",NA,NA,315,315
"310","3b823f36afdf217a11e5d67235ec17908fdffdf3",1,NA,NA,1
"311","3b8a3d1f027410d3ff7ec543ed891d29e66af4ab",82,223,286,591
"312","3b954f244f113c33edfbf5b8116bcfc18fdbff71",314,NA,272,586
"313","3b9cbc04f64cee6ba563104542e161c9a555bb4d",127,NA,NA,127
"314","3bc4b2a7b8a46b66bd1856c7419ed0f7016499c5",1,NA,NA,1
"315","3bcd91bdf3c41a284bc3690c01c3f23467f1742e",NA,NA,100,100
"316","3be1745fd89859fee2e422cf05bb127a68f5cf00",NA,6,37,43
"317","3be2036301de316fb26e54cffdaab0830655d604",566,387,324,1277
"318","3c01695411a497a242775221f2ff4e2234f18fbe",38,73,NA,111
"319","3c53b39799671cd9fc7b7637b6b90d025be6b324",247,NA,94,341
"320","3c7660be5e64c9406cfbc783d943d39ebfd06b1b",16,NA,NA,16
"321","3c8235024a0e3e3f1dcfef16080eaaf2cffc887b",26,NA,NA,26
"322","3cdfba46718f763c6a8838a9ef9856759b25841f",2,197,501,700
"323","3d23508828119cb2cf632c8294e2a42318c11bf0",1,NA,NA,1
"324","3d7e673996ded2adc951734ee10ace3c481520f9",564,414,99,1077
"325","3dbf066d8094371bb8a526229ed249e72c444e57",NA,103,NA,103
"326","3dcd5ed07a3850c11605988071a327a5685938a2",NA,NA,137,137
"327","3dd84f5d3a88f824b5a023b724a5585fbf32ba9c",680,697,719,2096
"328","3e429378534ad5f46d596b82066771ea9bbac501",NA,11,NA,11
"329","3e6082d480ae9950bd8ebf14ae19970b3e8d32d5",NA,1,NA,1
"330","3f0b3f339a269c65d99cd85546ebc14791ad3d3e",2,NA,NA,2
"331","3faa4e4fae31dccec5c3d3d612a6d16b19e44ff8",398,559,420,1377
"332","3fbcc798622c02b8961bcf6881d1cbf566ba39e4",299,56,146,501
"333","3ffca17a704b2bdd7b912cacb3c528f5a627fbad",5,NA,NA,5
"334","401e7703c0eb224fb61797e3bdfca6b4b93c455d",NA,9,377,386
"335","402446ec3f8e9afcc15c8e1bfce19dc81f03782f",3,NA,NA,3
"336","40269fcece49d72af6daae840d0eb451158a1339",NA,NA,6,6
"337","4067352dd7de59eec33385ed2ad228ab65f2f6f9",NA,NA,1,1
"338","40a522d51351c9d684b2ce31c3b594204f79ea8f",255,145,367,767
"339","40ce1407844fec80db50e9655df1497481a5a010",19,NA,NA,19
"340","40ee59b20c81451d7a781f62a7b7e38e5e92de4e",81,NA,NA,81
"341","414d21ef2332a57d42fc40c9aff480652823df54",36,152,146,334
"342","41926588df39fdf6f7b176316ee2afc9db363844",2,NA,NA,2
"343","41afbb8823e64401a71aaf7b194f53a9a9b0dee8",28,NA,NA,28
"344","4269a566bba2774af389f1c38ac9be53131d8db9",8,NA,NA,8
"345","42a91743f84132f1bc7884c2a507c1eb66239a1e",46,NA,NA,46
"346","42baade93e7827481581ac72a2bf685095bbbb75",42,49,264,355
"347","433033275abc78034d1bef3dd7b4e42a05962ee4",NA,NA,279,279
"348","435f6167de485e517d74029d9cdae4a2049ad97e",626,665,668,1959
"349","436e222f0e3205837a6a232f9810fae9d2bc1d0a",217,274,206,697
"350","4380853322f8572ba35d3a2e8b25f82006112ab4",635,617,NA,1252
"351","43cb873d92f0918ee5fe6cb1e6be8a4f48a2090c",150,12,NA,162
"352","43e789a2c98c9229310d406b78f236ea838d0ae6",49,325,363,737
"353","4422d2361b7cf28417a13aee66cf91d6f0a4a87a",NA,NA,39,39
"354","442fb3a041b8964ed540db3d3dae42bb53126abf",NA,34,93,127
